scorer,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000,DLC_mobnet_100_CD1Feb12shuffle1_310000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
37,175.0968475341797,345.28460693359375,0.9999488592147827,193.25741577148438,385.9609069824219,0.9999217987060547,213.27833557128906,365.1330871582031,0.9999042749404907,338.5115661621094,416.398681640625,0.9996148347854614
38,167.08349609375,332.7194519042969,0.9999139308929443,181.70278930664062,378.57550048828125,0.9999039173126221,201.55662536621094,354.33392333984375,0.9999494552612305,327.1922302246094,417.30029296875,0.999672532081604
39,166.71621704101562,324.240478515625,0.9999662637710571,176.35862731933594,368.9877624511719,0.9998928308486938,197.4807586669922,348.7742004394531,0.9999600648880005,313.3709411621094,424.77032470703125,0.9993485808372498
40,166.71621704101562,308.7549133300781,0.7967294454574585,168.50515747070312,354.2161560058594,0.9994955062866211,189.95675659179688,335.7729797363281,0.9995369911193848,293.860107421875,424.9599609375,0.9998823404312134
41,166.71621704101562,295.08856201171875,0.9999421834945679,159.61927795410156,333.2718505859375,0.9990022778511047,185.05548095703125,321.6918029785156,0.9999356269836426,277.8172607421875,424.9599609375,0.9998645782470703
42,171.51992797851562,282.3639831542969,0.9998296499252319,157.2447052001953,315.5869140625,0.9992353916168213,180.61866760253906,314.5546875,0.999634861946106,267.8788757324219,424.9599609375,0.9998306035995483
43,171.51992797851562,276.8451232910156,0.9999582767486572,157.19400024414062,306.39874267578125,0.9996789693832397,177.19216918945312,306.9552917480469,0.999742329120636,256.23504638671875,415.607421875,0.9996033310890198
44,171.51992797851562,268.43798828125,0.9998041987419128,154.66358947753906,299.5886535644531,0.9994743466377258,175.1192169189453,301.43231201171875,0.9959624409675598,249.7986297607422,408.0556945800781,0.9998546838760376
45,170.00668334960938,262.54595947265625,0.9999250173568726,154.4091796875,294.4567565917969,0.9997716546058655,174.6790313720703,292.5808410644531,0.9996774196624756,244.61746215820312,402.1410217285156,0.9999159574508667
46,169.26007080078125,255.75631713867188,0.9998700618743896,153.6560821533203,286.8200988769531,0.9997099041938782,172.6833038330078,286.3282775878906,0.9972203969955444,241.47837829589844,398.7879333496094,0.9998346567153931
47,161.92318725585938,243.8798370361328,0.9624055624008179,152.5745849609375,279.6020812988281,0.9995228052139282,172.3069305419922,272.58367919921875,0.9995948672294617,237.4974365234375,397.9208068847656,0.9996296167373657
48,150.7559051513672,236.28660583496094,0.8365591168403625,148.8309326171875,273.520263671875,0.9997699856758118,170.39158630371094,264.2118225097656,0.9987276196479797,232.72198486328125,396.54486083984375,0.9997938275337219
49,145.26217651367188,222.61984252929688,0.9998341798782349,142.2059783935547,264.26605224609375,0.9997654557228088,169.14112854003906,254.23431396484375,0.9996193647384644,214.88983154296875,392.3087463378906,0.9997853636741638
50,141.839599609375,209.41336059570312,0.9999215602874756,139.03756713867188,252.845703125,0.9998251795768738,167.7290802001953,241.4995574951172,0.9999386072158813,203.39263916015625,383.21331787109375,0.9997013211250305
51,139.54150390625,192.04173278808594,0.9998194575309753,136.66415405273438,238.22572326660156,0.9999107122421265,165.1046600341797,227.7187957763672,0.9998742341995239,198.00047302246094,373.01788330078125,0.9999246597290039
52,137.67478942871094,174.30442810058594,0.7495713829994202,135.4374542236328,222.55450439453125,0.999904990196228,164.1267547607422,211.66893005371094,0.9999068975448608,195.97998046875,361.0912170410156,0.9998888969421387
53,134.07188415527344,158.478515625,0.9999332427978516,135.219482421875,208.7070770263672,0.9999649524688721,163.94955444335938,197.4519500732422,0.9999524354934692,192.50949096679688,340.54461669921875,0.9998162388801575
54,131.03012084960938,144.80947875976562,0.9999727010726929,133.7933349609375,197.19259643554688,0.9999880790710449,161.98117065429688,183.92947387695312,0.9999470710754395,187.9680633544922,319.9911804199219,0.9996482133865356
55,129.26516723632812,135.61671447753906,0.9999841451644897,132.90699768066406,184.18008422851562,0.9999901056289673,160.1665802001953,172.76832580566406,0.9999334812164307,182.44992065429688,305.40069580078125,0.9998524188995361
56,126.4613037109375,124.17743682861328,0.999656081199646,130.05636596679688,172.90408325195312,0.9999696016311646,159.19464111328125,161.16368103027344,0.9999421834945679,174.75938415527344,295.4847717285156,0.9998488426208496
57,121.22159576416016,114.89397430419922,0.9999644756317139,127.3656234741211,159.8837890625,0.9999189376831055,154.87774658203125,146.8585205078125,0.9999603033065796,165.40370178222656,285.6447448730469,0.9998623132705688
58,117.12157440185547,103.49397277832031,0.9999889135360718,122.06681823730469,148.51522827148438,0.9999446868896484,149.28262329101562,135.98561096191406,0.9999569654464722,163.83267211914062,277.959228515625,0.9998877048492432
59,114.71185302734375,92.99207305908203,0.9999423027038574,116.82288360595703,136.4757843017578,0.999982476234436,145.25576782226562,127.1762924194336,0.999972939491272,163.83267211914062,271.1357116699219,0.9998384714126587
