scorer,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000,DLC_resnet50_wtfJun20shuffle1_800000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Centro,Centro,Centro,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
58,850.9612426757812,649.4173583984375,0.9993347525596619,821.5505981445312,692.72265625,0.9999986886978149,860.8705444335938,701.3016357421875,0.9999181032180786,829.0047607421875,756.21826171875,0.9999450445175171,811.2600708007812,823.1083984375,0.9999854564666748
59,850.8856201171875,649.4173583984375,0.9992548823356628,822.0704956054688,691.876953125,0.9999988079071045,860.8705444335938,701.3016357421875,0.9993891716003418,829.0047607421875,757.8165283203125,0.9999712705612183,810.9490966796875,823.3382568359375,0.9999252557754517
60,850.9612426757812,650.0641479492188,0.9992939233779907,821.5505981445312,692.4254760742188,0.999998927116394,859.73388671875,701.4183959960938,0.9998478889465332,829.0047607421875,757.8908081054688,0.9999773502349854,811.2600708007812,823.843994140625,0.9999871253967285
61,850.9612426757812,650.0641479492188,0.9986494183540344,821.5435180664062,692.3873291015625,0.9999978542327881,859.73388671875,701.6616821289062,0.9998936653137207,830.2906494140625,757.8908081054688,0.9999852180480957,811.0130004882812,823.843994140625,0.9999818801879883
62,850.98681640625,650.1893310546875,0.9998332262039185,821.5435180664062,692.3873291015625,0.9999988079071045,860.0448608398438,701.94140625,0.999855637550354,830.2906494140625,757.9577026367188,0.9999910593032837,811.0130004882812,823.843994140625,0.9999692440032959
63,851.07568359375,650.7542114257812,0.9999457597732544,820.7407836914062,692.4254760742188,0.9999992847442627,859.73388671875,702.0242309570312,0.9999096393585205,830.2906494140625,757.9940795898438,0.9999945163726807,811.0130004882812,823.84716796875,0.9999873638153076
64,851.2417602539062,650.7542114257812,0.9998584985733032,820.7407836914062,692.5324096679688,0.9999992847442627,860.0448608398438,702.0242309570312,0.9999849796295166,829.5671997070312,758.462646484375,0.9999868869781494,811.0130004882812,823.84716796875,0.9997182488441467
65,851.07568359375,650.9927368164062,0.9992595314979553,820.7407836914062,692.5324096679688,0.9999991655349731,860.0448608398438,702.0242309570312,0.9998425245285034,829.5232543945312,758.5077514648438,0.9999693632125854,810.5477905273438,824.2443237304688,0.9999135732650757
66,851.5228881835938,650.9927368164062,0.9982897639274597,820.9819946289062,693.4462280273438,0.9999974966049194,860.0896606445312,702.326416015625,0.9999639987945557,829.2879638671875,758.579345703125,0.9999854564666748,810.5477905273438,824.2443237304688,0.9999226331710815
67,851.5228881835938,650.9927368164062,0.9999562501907349,820.9819946289062,693.9388427734375,0.9999994039535522,858.8292236328125,702.326416015625,0.9999451637268066,829.2879638671875,759.3486328125,0.99991774559021,811.078125,824.2443237304688,0.999961256980896
68,851.828857421875,650.6401977539062,0.9999500513076782,821.5318603515625,693.9388427734375,0.999997615814209,859.79541015625,701.9141235351562,0.9999823570251465,829.2879638671875,759.3486328125,0.9999043941497803,811.078125,824.2443237304688,0.9999706745147705
69,851.828857421875,650.5706176757812,0.9998693466186523,821.29638671875,693.6016845703125,0.9999982118606567,859.79541015625,701.9141235351562,0.9999663829803467,829.3242797851562,759.3486328125,0.9999750852584839,811.078125,824.2443237304688,0.9998263716697693
70,852.4706420898438,650.18359375,0.9999161958694458,821.29638671875,693.6016845703125,0.9999991655349731,860.0896606445312,703.2500610351562,0.9999059438705444,829.4155883789062,758.5420532226562,0.9999775886535645,811.078125,824.4014282226562,0.9998924732208252
71,852.4706420898438,650.1071166992188,0.9921656847000122,821.29638671875,693.6016845703125,0.9999983310699463,859.79541015625,703.2500610351562,0.9997194409370422,830.31640625,757.49365234375,0.999994158744812,810.85205078125,824.4014282226562,0.9999747276306152
